"Neighborhood","Time_Col","gi_star","p_sim","significance"
"Arbutus Ridge",2024-03-31,2.50987925438055,0.48,""
"Arbutus Ridge",2024-04-30,2.96654338995743,0.355,""
"Arbutus Ridge",2024-05-31,3.35119907805576,0.365,""
"Arbutus Ridge",2024-06-30,2.81833787920755,0.36,""
"Arbutus Ridge",2024-07-31,2.62739367315764,0.355,""
"Arbutus Ridge",2024-08-31,2.9743625425618,0.32,""
"Arbutus Ridge",2024-09-30,3.82570721352404,0.47,""
"Arbutus Ridge",2024-10-31,3.18971595497925,0.375,""
"Arbutus Ridge",2024-11-30,2.62081414854555,0.365,""
"Arbutus Ridge",2024-12-31,2.61658349594519,0.5,""
"Downtown",2010-01-31,-1.36415257160137,0.045,"***"
"Downtown",2010-02-28,-2.11794965804603,0.01,"***"
"Downtown",2010-03-31,-2.01392737610275,0.005,"***"
"Downtown",2010-04-30,-2.16727741075515,0.005,"***"
"Downtown",2010-05-31,-2.00876247727091,0.015,"***"
"Downtown",2010-06-30,-1.6038582997253,0.1,""
"Downtown",2010-07-31,-1.27095547931554,0.065,""
"Downtown",2010-08-31,-1.80298426380212,0.01,"***"
"Downtown",2010-09-30,-2.54321160611442,0.02,"***"
"Downtown",2010-10-31,-3.04958973727631,0.005,"***"
"Downtown",2010-11-30,-2.30938695489242,0.02,"***"
"Downtown",2010-12-31,-1.35910931553127,0.045,"***"
"Downtown",2011-01-31,-1.66610280558031,0.025,"***"
"Downtown",2011-02-28,-2.38487265597226,0.005,"***"
"Downtown",2011-03-31,-2.02209735452043,0.005,"***"
"Downtown",2011-04-30,-1.49833781606093,0.025,"***"
"Downtown",2011-05-31,-1.65842645485965,0.025,"***"
"Downtown",2011-06-30,-1.3814494965389,0.015,"***"
"Downtown",2011-07-31,-1.85101657897237,0.045,"***"
"Downtown",2011-08-31,-1.23002061801543,0.165,""
"Downtown",2011-09-30,-1.50138479849651,0.125,""
"Downtown",2011-10-31,-1.07282128860552,0.13,""
"Downtown",2011-11-30,-1.01762023666445,0.06,""
"Downtown",2011-12-31,-1.02875300533341,0.15,""
"Downtown",2012-01-31,-1.10008320436009,0.065,""
"Downtown",2012-02-29,-1.43081101167813,0.03,"***"
"Downtown",2012-03-31,-1.51093736225517,0.11,""
"Downtown",2012-04-30,-1.60739564030403,0.16,""
"Downtown",2012-05-31,-0.888776770622302,0.155,""
"Downtown",2012-06-30,-1.83853209738086,0.065,""
"Downtown",2012-07-31,-1.54460079529827,0.095,""
"Downtown",2012-08-31,-1.28461659322995,0.2,""
"Downtown",2012-09-30,-0.906526272795489,0.23,""
"Downtown",2012-10-31,-1.08013881788003,0.175,""
"Downtown",2012-11-30,-1.62407203742717,0.105,""
"Downtown",2012-12-31,-1.94133710384007,0.025,"***"
"Downtown",2013-01-31,-2.08673595405284,0.015,"***"
"Downtown",2013-02-28,-2.08734718392941,0.005,"***"
"Downtown",2013-03-31,-1.67069832007826,0.01,"***"
"Downtown",2013-04-30,-1.61621268443717,0.06,""
"Downtown",2013-05-31,-1.77908637185103,0.045,"***"
"Downtown",2013-06-30,-1.64838946681758,0.01,"***"
"Downtown",2013-07-31,-1.90912752265898,0.005,"***"
"Downtown",2013-08-31,-1.81015691150926,0.005,"***"
"Downtown",2013-09-30,-1.8658782002323,0.015,"***"
"Downtown",2013-10-31,-2.05606763724341,0.03,"***"
"Downtown",2013-11-30,-1.87404666792748,0.075,""
"Downtown",2013-12-31,-2.11452840957813,0.07,""
"Downtown",2014-01-31,-1.83123449620036,0.105,""
"Downtown",2014-02-28,-1.01564212222664,0.025,"***"
"Downtown",2014-03-31,-2.14455810039672,0.01,"***"
"Downtown",2014-04-30,-1.62993792718019,0.055,""
"Downtown",2014-05-31,-2.35325233551085,0.045,"***"
"Downtown",2014-06-30,-2.3403220257169,0.025,"***"
"Downtown",2014-07-31,-2.20323988336373,0.135,""
"Downtown",2014-08-31,-1.63378836081918,0.11,""
"Downtown",2014-09-30,-1.92272519851681,0.095,""
"Downtown",2014-10-31,-2.20089007114693,0.12,""
"Downtown",2014-11-30,-1.72021484306068,0.055,""
"Downtown",2014-12-31,-1.99191000082934,0.04,"***"
"Downtown",2015-01-31,-1.7261461791034,0.095,""
"Downtown",2015-02-28,-1.39931286229092,0.045,"***"
"Downtown",2015-03-31,-1.97229872181718,0.02,"***"
"Downtown",2015-04-30,-2.11546976087474,0.06,""
"Downtown",2015-05-31,-1.73155534118939,0.045,"***"
"Downtown",2015-06-30,-1.87711173908879,0.03,"***"
"Downtown",2015-07-31,-1.79619099005122,0.165,""
"Downtown",2015-08-31,-1.14745842459498,0.285,""
"Downtown",2015-09-30,-1.5692828548079,0.09,""
"Downtown",2015-10-31,-1.99515540057405,0.085,""
"Downtown",2015-11-30,-1.60579921049215,0.205,""
"Downtown",2015-12-31,-1.54870239247797,0.315,""
"Downtown",2016-01-31,-1.4327382834362,0.35,""
"Downtown",2016-02-29,-1.23745830791102,0.22,""
"Downtown",2016-03-31,-1.65666314362961,0.135,""
"Downtown",2016-04-30,-1.52835731404469,0.095,""
"Downtown",2016-05-31,-1.56841301493487,0.165,""
"Downtown",2016-06-30,-1.35234133399139,0.235,""
"Downtown",2016-07-31,-1.34157795736042,0.425,""
"Downtown",2016-08-31,-1.25098700981584,0.295,""
"Downtown",2016-09-30,-1.61572226464759,0.165,""
"Downtown",2016-10-31,-1.64639296981858,0.075,""
"Downtown",2016-11-30,-1.45137998786857,0.095,""
"Downtown",2016-12-31,-1.43662295216637,0.03,"***"
"Downtown",2017-01-31,-1.40437774278478,0.03,"***"
"Downtown",2017-02-28,-1.40620208547059,0.03,"***"
"Downtown",2017-03-31,-1.53607418546541,0.05,""
"Downtown",2017-04-30,-1.67857735802449,0.015,"***"
"Downtown",2017-05-31,-1.80699390486921,0.05,""
"Downtown",2017-06-30,-1.77068465605047,0.155,""
"Downtown",2017-07-31,-1.65437153192478,0.27,""
"Downtown",2017-08-31,-1.47381654526353,0.25,""
"Downtown",2017-09-30,-1.77699134522235,0.1,""
"Downtown",2017-10-31,-2.07648123458691,0.09,""
"Downtown",2017-11-30,-1.86808160095407,0.125,""
"Downtown",2017-12-31,-1.82980502258838,0.28,""
"Downtown",2018-01-31,-1.57743327703468,0.35,""
"Downtown",2018-02-28,-1.41206280786633,0.28,""
"Downtown",2018-03-31,-1.53015676173618,0.11,""
"Downtown",2018-04-30,-1.49395907126921,0.255,""
"Downtown",2018-05-31,-1.56068560612377,0.21,""
"Downtown",2018-06-30,-1.47746939844851,0.2,""
"Downtown",2018-07-31,-1.44097458161592,0.155,""
"Downtown",2018-08-31,-1.66199771002186,0.13,""
"Downtown",2018-09-30,-1.42298981732054,0.32,""
"Downtown",2018-10-31,-1.47728173424515,0.22,""
"Downtown",2018-11-30,-1.58331998248623,0.23,""
"Downtown",2018-12-31,-1.69956279188101,0.19,""
"Downtown",2019-01-31,-1.75173238803121,0.14,""
"Downtown",2019-02-28,-1.47814637008299,0.04,"***"
"Downtown",2019-03-31,-1.70602347084356,0.08,""
"Downtown",2019-04-30,-1.75936139735391,0.075,""
"Downtown",2019-05-31,-1.91860150113702,0.045,"***"
