"Neighborhood","Time_Col","gi_star","p_folded_sim"
"Kitsilano",2011-01-01,0.91950551807737,0.24
"Strathcona",2011-01-01,2.31071224709177,0.015
"Sunset",2011-01-01,-0.379810786680947,0.425
"West Point Grey",2011-01-01,-0.909835672562781,0.49
"Dunbar-Southlands",2011-01-01,-1.18905070515509,0.095
"Fairview",2011-01-01,1.60501922273096,0.12
"Mount Pleasant",2011-01-01,2.0706511730617,0.08
"Renfrew-Collingwood",2011-01-01,0.0103847223157648,0.295
"West End",2011-01-01,2.37141155388105,0.005
"Downtown",2011-02-01,4.56304118914372,0.01
"Hastings-Sunrise",2011-02-01,0.0821745082865488,0.23
"Kerrisdale",2011-02-01,-1.99748575954685,0.01
"Marpole",2011-02-01,-1.21344357236471,0.175
"Oakridge",2011-02-01,-1.95911291656705,0.03
"Riley Park",2011-02-01,-0.476057279969703,0.44
"South Cambie",2011-02-01,-0.858881908947657,0.475
"Shaughnessy",2011-02-01,-1.65725203478175,0.18
"Victoria-Fraserview",2011-02-01,-0.162379146793316,0.31
"Arbutus Ridge",2011-02-01,-1.84931806070165,0.02
"Grandview-Woodland",2011-02-01,0.40465914359604,0.26
"Kensington-Cedar Cottage",2011-02-01,0.0490288476634837,0.38
"Killarney",2011-02-01,-0.206844452881817,0.245
"Kitsilano",2011-02-01,0.780959502068353,0.265
"Strathcona",2011-02-01,2.74873730218506,0.03
"Sunset",2011-02-01,-1.0215396018904,0.225
"West Point Grey",2011-02-01,-1.28719749455231,0.2
"Dunbar-Southlands",2011-02-01,-1.70755848810431,0.04
"Fairview",2011-02-01,1.91095770536008,0.145
"Mount Pleasant",2011-02-01,2.2448208108781,0.08
"Renfrew-Collingwood",2011-02-01,0.234547656479234,0.48
"West End",2011-02-01,2.95965187345387,0.015
"Downtown",2011-03-01,4.66243479928839,0.005
"Hastings-Sunrise",2011-03-01,-0.0047295465997751,0.24
"Kerrisdale",2011-03-01,-1.90639256776501,0.015
"Marpole",2011-03-01,-1.18396316547698,0.175
"Oakridge",2011-03-01,-1.7922938615151,0.02
"Riley Park",2011-03-01,-0.417515198391257,0.46
"South Cambie",2011-03-01,-1.03262930753938,0.405
"Shaughnessy",2011-03-01,-1.06713588536186,0.34
"Victoria-Fraserview",2011-03-01,-0.631948517854216,0.445
